,0
1044,11
1045,12
1046,44
1047,9
1048,0
1049,7
1050,32
1051,95
1052,113
1053,113
1054,7
1055,6
1056,21
1057,51
1058,88
1059,58
1060,41
1061,53
1062,41
1063,17
1064,5
1065,24
1066,26
1067,0
1068,45
1069,40
1070,5
1071,14
1072,1
1073,9
1074,30
1075,4
1076,3
1077,13
1078,117
1079,27
1080,37
1081,14
1082,12
1083,347
1084,27
1085,39
1086,2
1087,31
1088,51
1089,47
1090,4
1091,27
1092,27
1093,8
1094,43
1095,31
1096,8
1097,8
1098,8
1099,8
1100,6
1101,43
1102,4
1103,68
1104,0
1105,96
1106,9
1107,60
1108,0
1109,28
1110,6
1111,17
1112,28
1113,31
1114,16
1115,8
1116,42
1117,44
1118,43
1119,23
1120,12
1121,10
1122,74
1123,8
1124,131
1125,11
1126,23
1127,43
1128,28
1129,25
1130,66
1131,52
1132,263
1133,64
1134,142
1135,21
1136,76
1137,3
1138,27
1139,21
1140,27
1141,42
1142,25
1143,0
1144,23
1145,0
1146,16
1147,4
1148,13
1149,46
1150,27
1151,3
1152,34
1153,8
1154,11
1155,32
1156,6
1157,17
1158,19
1159,5
1160,30
1161,260
1162,7
1163,117
1164,3
1165,51
1166,46
1167,114
1168,17
1169,23
1170,7
1171,95
1172,20
1173,51
1174,53
1175,28
1176,64
1177,62
1178,28
1179,38
1180,43
1181,37
1182,20
1183,0
1184,3
1185,75
1186,8
1187,0
1188,47
1189,77
1190,33
1191,11
1192,8
1193,58
1194,20
1195,0
1196,2
1197,8
1198,15
1199,76
1200,91
1201,56
1202,8
1203,40
1204,0
1205,9
1206,53
1207,65
1208,76
1209,40
1210,29
1211,518
1212,46
1213,0
1214,13
1215,0
1216,33
1217,78
1218,4
1219,53
1220,42
1221,13
1222,48
1223,7
1224,6
1225,20
1226,11
1227,56
1228,30
1229,260
1230,28
1231,52
1232,96
1233,10
1234,8
1235,14
1236,64
1237,154
1238,7
1239,33
1240,61
1241,49
1242,35
1243,5
1244,92
1245,40
1246,50
1247,18
1248,20
1249,11
1250,54
1251,5
1252,25
1253,63
1254,5
1255,6
1256,11
1257,22
1258,32
1259,69
1260,18
1261,29
1262,6
1263,14
1264,66
1265,15
1266,48
1267,43
1268,58
1269,50
1270,13
1271,88
1272,18
1273,27
1274,69
1275,3
1276,10
1277,16
1278,24
1279,0
1280,40
1281,3
1282,5
1283,9
1284,93
1285,20
1286,16
1287,34
1288,54
1289,11
1290,14
1291,29
1292,8
1293,4
1294,0
1295,0
1296,34
1297,28
1298,55
1299,14
1300,4
1301,26
1302,11
1303,3
1304,91
1305,31
1306,6
1307,10
1308,79
1309,60
1310,5
1311,2
1312,57
1313,153
1314,40
1315,7
1316,34
1317,38
1318,49
1319,34
1320,75
1321,15
1322,42
1323,77
1324,24
1325,16
1326,2
1327,71
1328,25
1329,360
1330,21
1331,12
1332,53
1333,31
1334,56
1335,12
1336,7
1337,78
1338,23
1339,11
1340,34
1341,15
1342,160
1343,5
1344,22
1345,61
1346,40
1347,112
1348,28
1349,43
1350,41
1351,39
1352,66
1353,8
1354,2
1355,6
1356,32
1357,9
1358,0
1359,18
1360,3
1361,35
1362,24
1363,5
1364,36
1365,13
1366,54
1367,7
1368,135
1369,72
1370,74
1371,10
1372,105
1373,58
1374,107
1375,8
1376,21
1377,24
1378,98
1379,93
1380,80
1381,15
1382,39
1383,288
1384,101
1385,37
1386,19
1387,27
1388,36
1389,28
1390,66
1391,74
1392,28
1393,112
1394,41
1395,315
1396,7
1397,20
1398,30
1399,26
1400,31
1401,9
1402,26
1403,16
1404,14
1405,0
1406,14
1407,59
1408,10
1409,0
1410,8
1411,2
1412,12
1413,41
1414,6
1415,29
1416,19
1417,25
1418,18
1419,33
1420,25
1421,49
1422,6
1423,22
1424,32
1425,16
1426,35
1427,9
1428,21
1429,66
1430,30
1431,8
1432,29
1433,25
1434,58
1435,65
1436,21
1437,137
1438,0
1439,93
1440,63
1441,13
1442,273
1443,28
1444,42
1445,94
1446,11
1447,8
1448,174
1449,137
1450,101
1451,54
1452,5
1453,107
1454,6
1455,2
